state,Location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,White2010,Black2010,Hispanic2010,Total2010,White2011,Black2011,Hispanic2011,Total2011,White2012,Black2012,Hispanic2012,Total2012,White2013,Black2013,Hispanic2013,Total2013,White2014,Black2014,Hispanic2014,Total2014,White2015,Black2015,Hispanic2015,Total2015,White2016,Black2016,Hispanic2016,Total2016,White2017,Black2017,Hispanic2017,Total2017,White2018,Black2018,Hispanic2018,Total2018,White2019,Black2019,Hispanic2019,Total2019
AK,Alaska,433100,18700,34600,654700,434000,25100,41700,668900,439300,20500,37900,684600,441500,19900,40600,697100,446300,23600,40300,706200,441000,23600,44100,705100,437700,21000,46600,706600,435400,22900,47600,707500,439200,20700,47800,714900,433000,18000,47400,710100,426100,20700,50200,709100,421100,15200,48900,701700
AL,Alabama,3108700,1169700,124800,4526900,3121200,1170200,143800,4569100,3133000,1212100,176400,4651400,3129700,1234700,181200,4676000,3145700,1220200,179400,4696000,3136100,1232900,184500,4705800,3129100,1241500,184300,4714100,3131400,1251500,188000,4730100,3121800,1252500,194500,4730100,3119100,1259900,195700,4741400,3115600,1257300,204800,4752600,3117200,1263500,211700,4767100
AR,Arkansas,2096900,422400,152500,2769700,2101100,424900,168300,2796100,2113800,443000,178300,2834000,2122800,439500,185400,2849500,2122600,438300,192100,2860200,2116100,442400,197600,2868600,2119500,441900,201400,2880000,2106000,446400,204300,2882300,2114900,441600,210000,2895400,2109200,434100,220300,2910000,2110400,436900,224900,2921300,2108400,444200,226800,2922500
AZ,Arizona,3704300,214500,1922100,6363000,3702000,226100,1983800,6457900,3628600,236200,1857400,6256900,3634700,235400,1899500,6324500,3651000,247400,1920600,6386300,3675000,249900,1951200,6465700,3696900,256900,1998500,6556200,3714900,264200,2045900,6655100,3754900,270000,2087500,6760900,3761600,270200,2143400,6841300,3815100,297000,2213600,7004300,3843700,306600,2254800,7098000
CA,California,15080500,2071300,13174300,35882000,14957800,2040100,13409700,36094800,14600800,2042700,13825100,36515700,14577300,2039700,14094900,36862800,14578700,2046600,14271100,37221500,14572300,2061400,14441900,37511300,14533900,2044300,14716500,37981600,14503600,2084000,14903200,38325100,14418700,2066000,15009300,38442400,14305700,2061600,15194400,38713900,14206900,2074900,15261300,38745900,14047400,2066300,15271400,38642700
CO,Colorado,3422900,160700,967900,4816700,3456700,171700,990300,4891000,3452800,172400,1016300,4916200,3482600,181500,1043800,4983900,3517600,188200,1057400,5045900,3558300,183600,1079700,5130200,3600200,194200,1106200,5217000,3646600,204900,1137200,5315400,3708800,207900,1149700,5398100,3727100,204600,1179000,5461100,3774700,212200,1200900,5555200,3804100,211100,1221900,5611800
CT,Connecticut,2498400,298400,410400,3383800,2485400,306700,419600,3403200,2467300,319600,467300,3463700,2455800,327100,479900,3466400,2440900,327200,495900,3479300,2419300,333500,508100,3479000,2394300,331100,525700,3480400,2366300,342500,540400,3478100,2342200,340100,546300,3465100,2320900,336800,566200,3478700,2298100,343000,576400,3466300,2268200,346400,583300,3453300
DC,District of Columbia,176700,301800,48800,558900,180200,306300,51700,567800,191200,293800,53600,570200,2.00E+05,292900,57000,583900,207600,293900,61500,596000,214500,296700,63500,610300,220500,300300,65700,623500,225000,299400,68100,634800,231400,301700,71600,644400,236500,301800,72500,657600,244800,299900,75600,667900,246100,302400,75200,671300
DE,Delaware,571900,168500,60800,844200,578700,170700,61800,855500,572100,180200,71900,871700,575000,180900,74700,880100,572800,181900,77200,888000,577900,184300,79600,898500,578400,190300,80700,905300,580400,191900,83300,918300,581900,191300,85000,924300,583100,197900,85900,931700,582600,199900,88900,937700,577700,205100,91100,940300
FL,Florida,10772300,2598100,3771200,17874300,10731700,2655700,3920500,18067300,10650200,2744700,4186400,18398800,10693800,2809300,4286500,18614200,10737900,2856600,4413400,18876900,10748400,2897800,4549700,19093200,10815800,2965100,4716100,19431100,10934500,3027300,4883700,19812500,11017500,3050800,5045400,20144000,11058700,3097400,5292800,20532300,11101600,3141700,5488400,20843500,11119200,3150100,5583900,20992000
GA,Georgia,5466500,2726500,761300,9376400,5465500,2773400,789600,9484800,5276300,2833000,833600,9414700,5302500,2857000,854400,9517400,5320600,2897000,880600,9616400,5316200,2948800,876600,9690900,5334800,2992700,896200,9792900,5346500,3039500,922200,9909700,5339500,3083400,938100,10001000,5349500,3130400,974200,10121400,5358000,3158000,994300,10212800,5354500,3225900,1011800,10294000
HI,Hawaii,290100,23800,100400,1229000,290900,20700,108200,1223500,282400,15200,111200,1301600,286600,18900,119800,1311900,288800,16500,123200,1330300,289000,20400,127800,1331500,291900,22600,133800,1348100,295700,19700,137100,1362600,287900,17600,139800,1364600,280000,14100,137900,1356100,278500,20400,142100,1354800,274400,16400,137900,1343000
IA,Iowa,2609000,77500,118700,2894000,2614000,64200,127300,2902600,2616800,87100,145200,2948200,2625700,75800,149200,2963800,2622600,84300,156000,2976000,2619700,95100,162100,2990300,2620800,100300,166400,3002100,2625300,93200,169900,3019800,2623500,98700,171300,3030400,2616900,92800,180800,3045600,2614600,102300,186400,3056800,2610600,119200,191600,3060200
ID,Idaho,1259500,8400,154600,1484300,1274600,9800,161100,1507700,1295400,7700,172700,1538900,1297600,7400,175200,1547300,1305400,6100,180000,1562500,1317000,7000,186300,1580900,1325000,8000,193400,1598800,1339100,9100,192800,1617200,1362500,8600,202200,1650700,1381400,9500,207700,1682100,1407600,9300,217500,1719600,1429500,11500,225600,1750900
IL,Illinois,8094900,1775900,1931100,12556000,8092800,1773000,1937500,12558400,7988000,1759200,2010000,12536400,7939200,1763600,2048900,12553800,7915300,1750100,2067800,12567900,7898400,1739200,2081000,12571100,7834100,1736700,2117100,12569400,7770700,1739800,2134700,12549700,7719800,1715800,2139000,12491200,7664800,1706000,2171200,12496600,7588300,1685200,2173800,12438400,7522700,1679900,2177500,12362300
IN,Indiana,5143900,515100,314100,6172900,5149600,536200,341300,6221900,5136600,557600,379400,6289300,5144100,552200,387400,6317100,5142300,561600,399200,6338800,5138600,557200,410400,6366500,5138400,579500,412800,6386700,5141100,575400,424500,6415100,5129200,582900,435200,6431400,5127000,585200,448700,6459400,5121300,600600,460900,6487100,5116000,600500,471000,6511800
KS,Kansas,2172500,140800,259600,2701400,2176900,144800,254100,2716000,2161600,149700,293300,2761000,2162200,149400,297100,2772200,2167400,152100,306900,2787500,2162900,156400,311400,2796500,2164000,151100,319600,2810700,2155100,159100,326000,2816600,2154300,157400,329400,2817000,2145200,148500,335400,2817600,2137700,150700,336500,2814700,2128700,153300,341900,2811200
KY,Kentucky,3649900,296600,95900,4143600,3653600,298300,108500,4173500,3653400,313700,123500,4207100,3651500,326500,125800,4227900,3653900,322500,127100,4235100,3664400,325700,134500,4260900,3660900,318400,139000,4268800,3662100,332100,139600,4283400,3652100,342700,144300,4287700,3655800,339300,148500,4307100,3664300,328400,155000,4320300,3648500,344900,160800,4319300
LA,Louisiana,2658000,1335400,146100,4273800,2682400,1373800,154600,4352400,2670900,1388800,187000,4400400,2679200,1401300,188900,4431200,2678500,1414000,199900,4457000,2684600,1427300,207900,4483200,2686700,1438500,212100,4508500,2692200,1438800,220800,4530300,2689200,1440900,220700,4530500,2669900,1444600,234300,4541500,2658300,1429700,229400,4519300,2643900,1433000,235800,4498600
MA,Massachusetts,4932400,350600,536700,6265100,4979700,364300,563600,6358100,4834300,391700,611200,6328400,4829700,389700,628900,6360600,4830400,405100,650300,6410600,4828400,404300,680700,6451500,4811900,420500,704400,6506500,4792000,437900,729300,6555600,4771800,440400,750600,6570600,4746900,459100,785300,6620600,4717100,465500,824800,6659900,4687000,466200,824100,6650800
MD,Maryland,3143000,1555700,365200,5470000,3139900,1571800,401300,5525700,3078800,1623500,462200,5622200,3077300,1643100,476500,5668600,3084300,1637300,498100,5722700,3067400,1665700,522900,5767500,3053700,1693500,546000,5819300,3032100,1680700,557200,5838300,3010100,1716500,575200,5856500,2988800,1720600,600300,5892900,2953400,1720400,613900,5870800,2934100,1741500,624500,5875500
ME,Maine,1215200,9700,12000,1274100,1202700,15600,14900,1273900,1221200,14200,14400,1290600,1221000,14600,14500,1292200,1218200,10300,18900,1292600,1215800,12400,16200,1291900,1213700,15600,15700,1293800,1211100,13700,19300,1292600,1210500,20000,19400,1293800,1218000,14600,20600,1300200,1213400,17400,19500,1299500,1213500,17800,21900,1302300
MI,Michigan,7594800,1317400,396100,9764400,7540000,1325500,411400,9724300,7410900,1328700,424800,9657600,7393300,1329400,436400,9655100,7383900,1330200,441400,9659300,7363300,1312200,455000,9664300,7358500,1312600,466100,9682700,7341600,1320200,473300,9693800,7330200,1304100,477300,9693500,7322500,1313800,489200,9720300,7327100,1321900,502900,9770000,7316400,1305100,514600,9765600
MN,Minnesota,4326700,233700,212800,5084500,4354200,220000,218900,5128900,4317200,245100,241400,5187500,4328600,258100,249600,5222300,4332800,269200,257500,5256300,4334600,280900,255900,5287800,4342500,299100,269200,5330400,4350500,303500,271400,5365600,4352400,305000,277200,5392900,4358900,346100,285400,5446600,4370100,356100,296100,5489000,4361600,353700,307300,5514800
