state,location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,White2010,Black2010,Hispanic2010,Total2010,White2011,Black2011,Hispanic2011,Total2011,White2012,Black2012,Hispanic2012,Total2012,White2013,Black2013,Hispanic2013,Total2013,White2014,Black2014,Hispanic2014,Total2014,White2015,Black2015,Hispanic2015,Total2015,White2016,Black2016,Hispanic2016,Total2016,White2017,Black2017,Hispanic2017,Total2017,White2018,Black2018,Hispanic2018,Total2018,White2019,Black2019,Hispanic2019,Total2019
GA,Georgia,0,1.100311755,6.567713122,0.853205921,1.097795261,0.360568256,6.332320162,1.265182186,2.653374524,5.294740558,1.199616123,3.186506208,1.885902876,7.700385019,0,3.362262803,3.946923279,7.594062824,2.271178742,4.679505844,3.00966856,6.104177971,1.140771161,3.611635658,2.811726775,5.012196344,0,3.063443924,3.927803236,4.277019247,0,3.430981765,2.060117989,4.540442369,5.329922183,2.99970003,3.551733807,4.472271914,1.026483268,3.35921908,4.852556924,8.233058898,2.011465353,5.287482375,2.801382015,5.269847174,4.941688081,3.594326792
HI,Hawaii,6.894174423,0,0,1.6273393,0,0,0,0,0,0,0,0,0,0,0,0,3.462603878,0,0,0.751710141,0,49.01960784,0,0.75103267,0,0,7.473841555,0.741784734,0,50.76142132,0,0.733891091,3.473428274,0,0,0.732815477,3.571428571,0,0,0.737408746,3.590664273,0,7.037297678,1.476232654,0,0,0,0
ID,Idaho,1.587931719,0,6.468305304,2.021154753,2.353679586,0,18.62197393,3.979571533,0.771962328,0,0,0.649814803,3.853267571,0,5.707762557,3.877722484,2.298146162,327.8688525,0,3.2,0.759301443,714.2857143,0,3.795306471,6.037735849,0,5.170630817,5.629221916,4.480621313,0,0,3.71011625,2.201834862,348.8372093,0,3.634821591,2.895613146,105.2631579,0,2.972474883,7.104290992,107.5268817,0,6.396836474,2.798181182,86.95652174,0,2.855674225
IL,Illinois,0.247069142,0.563094769,0,0.238929595,0.123566627,1.692047377,0,0.318511912,0.125187782,0,0,0.079767716,0.629786376,0,0,0.398285778,0.631687997,0,0,0.397838939,0,2.299908004,0,0.318190135,0.255294163,0,0.472344244,0.238674877,0.772131211,0,0.468449899,0.557782258,0.906759242,0,0.935016363,0.720507237,1.043732387,0,0.460574797,0.720195893,1.449600042,0.593401377,0.460023921,1.045150502,0.930516969,0,0.45924225,0.647128771
IN,Indiana,0.777620094,7.765482431,47.75549188,3.725963486,1.74770856,3.729951511,35.15968356,3.696620004,0.778725227,28.69440459,5.271481286,3.498004547,1.749577186,45.27345165,5.162622612,5.698817495,0.777862046,39.17378917,7.51503006,4.574998422,2.335266415,14.35750179,7.30994152,3.612660017,1.362291764,29.33563417,12.1124031,4.540686113,1.556087219,22.5929788,4.711425206,3.585290954,1.949621773,32.59564248,9.191176471,5.13107566,1.170275015,23.92344498,11.14330287,3.870328513,2.343155058,21.64502165,4.339336082,4.162106334,0.977326036,23.31390508,2.123142251,3.0713474
IA,Iowa,1.916443082,25.80645161,16.84919966,3.109882516,3.442999235,31.15264798,7.855459544,4.134224488,3.057169061,45.92422503,0,4.070280171,3.808508207,92.34828496,0,5.735879614,3.431708991,71.17437722,0,5.040322581,4.198954079,63.09148265,12.33806292,6.353877537,3.434065934,19.94017946,0,3.664101795,5.713632728,75.10729614,5.885815185,7.616398437,4.57404231,50.6585613,11.67542323,6.269799366,5.349841415,107.7586207,5.530973451,8.208563173,4.972079859,48.87585533,0,5.888510861,5.362751858,50.33557047,0,6.535520554
KS,Kansas,0.460299194,0,0,0.370178426,1.837475309,0,3.935458481,1.840942563,2.775721688,26.72010688,3.40947835,3.984063745,1.849967626,20.08032129,0,2.525070341,2.768293808,19.72386588,3.258390355,3.587443946,0.462342226,25.57544757,0,1.787949222,5.083179298,33.09066843,0,5.692532109,3.248109136,0,9.202453988,3.550379891,4.177691129,12.7064803,0,3.90486333,4.195413015,20.2020202,8.944543828,5.323679727,2.806754924,13.27140013,8.915304606,3.908054144,4.697702823,0,2.924831822,3.91291975
KY,Kentucky,1.095920436,0,0,0.965344145,1.368513247,0,9.216589862,1.437642267,0.273717633,6.375518011,0,0.713080269,1.369300288,9.188361409,0,1.892192341,1.368400887,0,0,1.180609667,0.272895972,12.28124041,0,1.173461006,3.551039362,9.422110553,0,3.748125937,3.276808389,12.04456489,7.163323782,3.968809824,4.65485611,8.754012256,6.93000693,4.897730718,4.923682915,2.947244327,6.734006734,4.643495624,4.093551292,9.135200974,6.451612903,4.397842742,2.740852405,14.49695564,0,3.472784942
LA,Louisiana,0.376222724,0.748839299,34.22313484,1.637886658,2.236802863,0,32.34152652,2.527341237,0.374405631,3.600230415,0,1.363512408,2.23947447,2.140869193,0,2.031052537,1.866716446,12.02263083,0,4.936055643,2.607464799,2.80249422,4.81000481,2.676659529,4.094242007,6.256517205,4.71475719,4.657868471,5.943094867,11.81540172,0,7.284285809,3.718578016,8.328128253,4.531037608,5.076702351,1.498183453,10.38349716,4.268032437,4.403831333,4.137982921,4.196684619,0,3.761644502,2.269374787,11.1653873,0,4.89041035
ME,Maine,3.291639236,103.0927835,0,3.924338749,2.494387628,0,134.2281879,3.924954863,2.456600066,70.42253521,0,3.099333643,1.638001638,205.4794521,68.96551724,4.64324408,2.462649811,291.2621359,52.91005291,5.415441745,4.112518506,403.2258065,61.72839506,8.514590913,1.647853671,64.1025641,63.69426752,3.091667955,4.128478243,145.9854015,103.626943,6.962710815,3.304419661,300,206.185567,10.82083784,3.28407225,68.49315068,48.54368932,4.614674665,5.768913796,0,0,5.386687187,0,56.17977528,91.32420091,2.303616678
