state,Location,White,Black,Hispanic,total,year,,,,,,,,
MA,Massachusetts,4829700,389700,628900,6360600,2011,,,,,,,,
MI,Michigan,7393300,1329400,436400,9655100,2011,,,,,,,,
MN,Minnesota,4328600,258100,249600,5222300,2011,,,,,,,,
MS,Mississippi,1671900,1073100,72800,2878500,2011,,,,,,,,
MO,Missouri,4719700,643900,206000,5823500,2011,,,,,,,,
MT,Montana,851200,4500,27900,971600,2011,,,,,,,,
NE,Nebraska,1460300,73300,168200,1782300,2011,,,,,,,,
NV,Nevada,1431200,204200,726600,2675800,2011,,,,,,,,
NH,New Hampshire,1177800,11400,36000,1278200,2011,,,,,,,,
NJ,New Jersey,5074800,1073400,1575400,8638700,2011,,,,,,,,
NM,New Mexico,817500,31600,954900,2036500,2011,,,,,,,,
NY,New York,10958200,2709900,3419900,18940500,2011,,,,,,,,
NC,North Carolina,6087000,1977200,805700,9353100,2011,,,,,,,,
ND,North Dakota,582700,5000,14200,657100,2011,,,,,,,,
OH,Ohio,9115300,1321700,349300,11224600,2011,,,,,,,,
OK,Oklahoma,2507900,257900,337900,3664800,2011,,,,,,,,
OR,Oregon,2959400,62900,457900,3793500,2011,,,,,,,,
PA,Pennsylvania,9791700,1247500,717300,12318300,2011,,,,,,,,
RI,Rhode Island,766700,49900,130600,1007400,2011,,,,,,,,
SC,South Carolina,2902500,1245000,231400,4519500,2011,,,,,,,,
SD,South Dakota,669800,8700,21800,791400,2011,,,,,,,,
TN,Tennessee,4712300,1025600,288600,6230500,2011,,,,,,,,
TX,Texas,11185300,2800200,9596100,25006100,2011,,,,,,,,
UT,Utah,2215000,27400,364700,2767500,2011,,,,,,,,
VT,Vermont,566100,4100,7300,599800,2011,,,,,,,,
VA,Virginia,5025800,1471200,624900,7783700,2011,,,,,,,,
WA,Washington,4795000,216600,769000,6654400,2011,,,,,,,,
WV,West Virginia,1686800,51700,18500,1802200,2011,,,,,,,,
WI,Wisconsin,4623500,329100,333100,5549900,2011,,,,,,,,
WY,Wyoming,473500,4400,49500,551600,2011,,,,,,,,
US,United States,192305000,36797500,51773400,305376600,2012,,,,,,,,
AL,Alabama,3145700,1220200,179400,4696000,2012,,,,,,,,
AK,Alaska,446300,23600,40300,706200,2012,,,,,,,,
AZ,Arizona,3651000,247400,1920600,6386300,2012,,,,,,,,
AR,Arkansas,2122600,438300,192100,2860200,2012,,,,,,,,
CA,California,14578700,2046600,14271100,37221500,2012,,,,,,,,
CO,Colorado,3517600,188200,1057400,5045900,2012,,,,,,,,
CT,Connecticut,2440900,327200,495900,3479300,2012,,,,,,,,
DE,Delaware,572800,181900,77200,888000,2012,,,,,,,,
DC,District of Columbia,207600,293900,61500,596000,2012,,,,,,,,
FL,Florida,10737900,2856600,4413400,18876900,2012,,,,,,,,
GA,Georgia,5320600,2897000,880600,9616400,2012,,,,,,,,
HI,Hawaii,288800,16500,123200,1330300,2012,,,,,,,,
ID,Idaho,1305400,6100,180000,1562500,2012,,,,,,,,
IL,Illinois,7915300,1750100,2067800,12567900,2012,,,,,,,,
IN,Indiana,5142300,561600,399200,6338800,2012,,,,,,,,
IA,Iowa,2622600,84300,156000,2976000,2012,,,,,,,,
KS,Kansas,2167400,152100,306900,2787500,2012,,,,,,,,
KY,Kentucky,3653900,322500,127100,4235100,2012,,,,,,,,
LA,Louisiana,2678500,1414000,199900,4457000,2012,,,,,,,,
ME,Maine,1218200,10300,18900,1292600,2012,,,,,,,,
MD,Maryland,3084300,1637300,498100,5722700,2012,,,,,,,,
MA,Massachusetts,4830400,405100,650300,6410600,2012,,,,,,,,
MI,Michigan,7383900,1330200,441400,9659300,2012,,,,,,,,
MN,Minnesota,4332800,269200,257500,5256300,2012,,,,,,,,
MS,Mississippi,1669200,1082700,68500,2884500,2012,,,,,,,,
MO,Missouri,4717300,653900,209300,5830600,2012,,,,,,,,
MT,Montana,853800,4900,29600,978700,2012,,,,,,,,
NE,Nebraska,1463200,80500,173800,1795100,2012,,,,,,,,
